strategy,tier,source_construct,pcat_original_construct,mapping_status,source_doi
Conduct local consensus discussions,2,Patient Needs & Resources,Patient Needs & Resources,direct,10.1186/s43058-022-00380-5
Conduct local consensus discussions,2,Networks & Communications,Networks & Communications,direct,10.1186/s43058-022-00380-5
Conduct local consensus discussions,2,Relative Priority,Relative Advantage,approximate_source_label,10.1186/s43058-022-00380-5
Conduct local consensus discussions,2,Compatibility,Compatibility,direct,10.1186/s43058-022-00380-5
Conduct local consensus discussions,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Conduct local consensus discussions,2,Leadership Engagement,Leadership Engagement,direct,10.1186/s43058-022-00380-5
Conduct local needs assessment,1,Patient Needs & Resources,Patient Needs & Resources,direct,10.1186/s43058-022-00380-5
Conduct local needs assessment,2,Relative Priority,Relative Advantage,approximate_source_label,10.1186/s43058-022-00380-5
Conduct local needs assessment,2,Compatibility,Compatibility,direct,10.1186/s43058-022-00380-5
Conduct local needs assessment,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Assess for readiness and identify barriers and facilitators,2,Patient Needs & Resources,Patient Needs & Resources,direct,10.1186/s43058-022-00380-5
Assess for readiness and identify barriers and facilitators,2,Relative Priority,Relative Advantage,approximate_source_label,10.1186/s43058-022-00380-5
Assess for readiness and identify barriers and facilitators,2,Compatibility,Compatibility,direct,10.1186/s43058-022-00380-5
Assess for readiness and identify barriers and facilitators,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Identify and prepare champions,2,Compatibility,Compatibility,direct,10.1186/s43058-022-00380-5
Identify and prepare champions,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Identify and prepare champions,2,Leadership Engagement,Leadership Engagement,direct,10.1186/s43058-022-00380-5
Alter incentive/allowance structures,2,Relative Priority,Relative Advantage,approximate_source_label,10.1186/s43058-022-00380-5
Alter incentive/allowance structures,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Alter incentive/allowance structures,2,Leadership Engagement,Leadership Engagement,direct,10.1186/s43058-022-00380-5
Build a coalition,2,Networks & Communications,Networks & Communications,direct,10.1186/s43058-022-00380-5
Build a coalition,2,Compatibility,Compatibility,direct,10.1186/s43058-022-00380-5
Capture and share local knowledge,2,Networks & Communications,Networks & Communications,direct,10.1186/s43058-022-00380-5
Capture and share local knowledge,2,Available Resources,Available Resources,direct,10.1186/s43058-022-00380-5
Develop a formal implementation blueprint,2,Goals & Feedback,Goals & Feedback,direct,10.1186/s43058-022-00380-5
Develop a formal implementation blueprint,2,Leadership Engagement,Leadership Engagement,direct,10.1186/s43058-022-00380-5
Facilitate relay of clinical data to providers,2,Goals & Feedback,Goals & Feedback,direct,10.1186/s43058-022-00380-5
Facilitate relay of clinical data to providers,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Facilitation,2,Networks & Communications,Networks & Communications,direct,10.1186/s43058-022-00380-5
Facilitation,2,Compatibility,Compatibility,direct,10.1186/s43058-022-00380-5
Increase demand,2,Relative Priority,Relative Advantage,approximate_source_label,10.1186/s43058-022-00380-5
Increase demand,2,Leadership Engagement,Leadership Engagement,direct,10.1186/s43058-022-00380-5
Inform local opinion leaders,2,Networks & Communications,Networks & Communications,direct,10.1186/s43058-022-00380-5
Inform local opinion leaders,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Involve patients/consumers and family members,1,Patient Needs & Resources,Patient Needs & Resources,direct,10.1186/s43058-022-00380-5
Involve patients/consumers and family members,2,Tension for Change,Tension for Change,direct,10.1186/s43058-022-00380-5
Organize clinician implementation team meetings,1,Networks & Communications,Networks & Communications,direct,10.1186/s43058-022-00380-5
Organize clinician implementation team meetings,2,Goals & Feedback,Goals & Feedback,direct,10.1186/s43058-022-00380-5
Audit and provide feedback,1,Goals & Feedback,Goals & Feedback,direct,10.1186/s43058-022-00380-5
Obtain and use patients/consumers and family feedback,1,Patient Needs & Resources,Patient Needs & Resources,direct,10.1186/s43058-022-00380-5
Promote network weaving,1,Networks & Communications,Networks & Communications,direct,10.1186/s43058-022-00380-5
Access new funding,1,Available Resources,Available Resources,direct,10.1186/s43058-022-00380-5
Prepare patients/consumers to be active participants,2,Patient Needs & Resources,Patient Needs & Resources,direct,10.1186/s43058-022-00380-5
Promote adaptability,2,Compatibility,Compatibility,direct,10.1186/s43058-022-00380-5
Change physical structure and equipment,2,Available Resources,Available Resources,direct,10.1186/s43058-022-00380-5
Involve executive boards,2,Leadership Engagement,Leadership Engagement,direct,10.1186/s43058-022-00380-5
