project_id,respondent_id,site_id,team_id,role,timepoint,assessment_date,item_id,item_text,direction,effect,comment
PROJECT_01,R001,SITE_01,,,planning,,1,People here regularly seek to understand the needs of patients and make changes to better meet those needs.,,,
PROJECT_01,R001,SITE_01,,,planning,,2,I have open lines of communication with everyone needed to make the change.,,,
PROJECT_01,R001,SITE_01,,,planning,,3,I have access to data to help track changes in outcomes.,,,
PROJECT_01,R001,SITE_01,,,planning,,4,The change is aligned with leadership goals.,,,
PROJECT_01,R001,SITE_01,,,planning,,5,The change is aligned with clinician values.,,,
PROJECT_01,R001,SITE_01,,,planning,,6,The change is compatible with existing clinical processes.,,,
PROJECT_01,R001,SITE_01,,,planning,,7,The structures and policies in place here enable us to make the change.,,,
PROJECT_01,R001,SITE_01,,,planning,,8,We have sufficient space to accommodate the change.,,,
PROJECT_01,R001,SITE_01,,,planning,,9,We have sufficient time dedicated to make the change.,,,
PROJECT_01,R001,SITE_01,,,planning,,10,"We have other needed resources to make the change (staff, money, supplies, etc.).",,,
PROJECT_01,R001,SITE_01,,,planning,,11,People here see the current situation as intolerable and that the change is needed.,,,
PROJECT_01,R001,SITE_01,,,planning,,12,People here see the advantage of implementing this change versus an alternative change.,,,
PROJECT_01,R001,SITE_01,,,planning,,13,"Higher level leaders are committed, involved, and accountable for the planned improvement.",,,
PROJECT_01,R001,SITE_01,,,planning,,14,"Leaders I work with most closely are committed, involved, and accountable for the planned improvement.",,,
